"state_legislative_district","precinct","office","district","party","candidate","votes"
"1","01-446 Aurora ","President","","CON ","Castle, Darrell L. ",5
"1","01-446 Aurora ","President","","DEM ","Clinton, Hillary ",295
"1","01-446 Aurora ","President","","NA ","De La Fuente, Roque ",7
"1","01-446 Aurora ","President","","LIB ","Johnson, Gary ",75
"1","01-446 Aurora ","President","","GRE ","Stein, Jill ",23
"1","01-446 Aurora ","President","","REP ","Trump, Donald J. ",434
"1","01-446 Aurora ","President","","NP ","Write-in 60 ",29
"1","01-446 Aurora ","U.S. Senate","","NA ","Craig, Breck A.  ",5
"1","01-446 Aurora ","U.S. Senate","","NA ","Gianoutsos, Ted ",8
"1","01-446 Aurora ","U.S. Senate","","DEM ","Metcalfe, Ray ",70
"1","01-446 Aurora ","U.S. Senate","","LIB ","Miller, Joe ",261
"1","01-446 Aurora ","U.S. Senate","","REP ","Murkowski, Lisa ",409
"1","01-446 Aurora ","U.S. Senate","","NA ","Stock, Margaret ",105
"1","01-446 Aurora ","U.S. Senate","","NP ","Write-in 70 ",4
"1","01-446 Aurora ","U.S. House","1","DEM ","Lindbeck, Steve ",334
"1","01-446 Aurora ","U.S. House","1","LIB ","McDermott, Jim C.  ",109
"1","01-446 Aurora ","U.S. House","1","NA ","Souphanavong, Bernie ",20
"1","01-446 Aurora ","U.S. House","1","REP ","Young, Don ",389
"1","01-446 Aurora ","U.S. House","1","NP ","Write-in 50 ",4
"1","01-446 Aurora ","State House","1","DEM ","Kawasaki, Scott J.  ",633
"1","01-446 Aurora ","State House","1","NP ","Write-in 20 ",74
"1","01-446 Aurora ","Ballot Measure No. 1 - 15PFVR ","","NP ","YES ",565
"1","01-446 Aurora ","Ballot Measure No. 1 - 15PFVR ","","NP ","NO ",284
"1","01-446 Aurora ","Ballot Measure No. 2 - SJR2 ","","NP ","YES ",372
"1","01-446 Aurora ","Ballot Measure No. 2 - SJR2 ","","NP ","NO ",462
"1","01-446 Aurora ","Supreme Crt-Justice Bolger ","","NP ","YES ",460
"1","01-446 Aurora ","Supreme Crt-Justice Bolger ","","NP ","NO ",311
"1","01-446 Aurora ","Supreme Crt-Justice Maassen ","","NP ","YES ",444
"1","01-446 Aurora ","Supreme Crt-Justice Maassen ","","NP ","NO ",313
"1","01-446 Aurora ","Court of Appeals - Judge Allard ","","NP ","YES ",493
"1","01-446 Aurora ","Court of Appeals - Judge Allard ","","NP ","NO ",281
"1","01-446 Aurora ","Sup Court JD4 Blankenship ","","NP ","YES ",530
"1","01-446 Aurora ","Sup Court JD4 Blankenship ","","NP ","NO ",235
"1","01-446 Aurora ","Sup Court JD4 Harbison ","","NP ","YES ",525
"1","01-446 Aurora ","Sup Court JD4 Harbison ","","NP ","NO ",241
"1","01-446 Aurora ","Sup Court JD4 Kauvar ","","NP ","YES ",502
"1","01-446 Aurora ","Sup Court JD4 Kauvar ","","NP ","NO ",268
"1","01-446 Aurora ","Sup Court JD4 MacDonald ","","NP ","YES ",519
"1","01-446 Aurora ","Sup Court JD4 MacDonald ","","NP ","NO ",242
"1","01-446 Aurora ","Sup Court JD4 McConnell  ","","NP ","YES ",486
"1","01-446 Aurora ","Sup Court JD4 McConnell  ","","NP ","NO ",259
"1","01-446 Aurora ","Dis Court JD4 Christian ","","NP ","YES ",517
"1","01-446 Aurora ","Dis Court JD4 Christian ","","NP ","NO ",234
"1","01-446 Aurora ","Dis Court JD4 Hammers ","","NP ","YES ",507
"1","01-446 Aurora ","Dis Court JD4 Hammers ","","NP ","NO ",241
"1","01-446 Aurora ","Dis Court JD4 Peters ","","NP ","YES ",503
"1","01-446 Aurora ","Dis Court JD4 Peters ","","NP ","NO ",244
"1","01-455 Fairbanks No. 1 ","President","","CON ","Castle, Darrell L. ",2
"1","01-455 Fairbanks No. 1 ","President","","DEM ","Clinton, Hillary ",65
"1","01-455 Fairbanks No. 1 ","President","","NA ","De La Fuente, Roque ",1
"1","01-455 Fairbanks No. 1 ","President","","LIB ","Johnson, Gary ",8
"1","01-455 Fairbanks No. 1 ","President","","GRE ","Stein, Jill ",2
"1","01-455 Fairbanks No. 1 ","President","","REP ","Trump, Donald J. ",113
"1","01-455 Fairbanks No. 1 ","President","","NP ","Write-in 60 ",8
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","NA ","Craig, Breck A.  ",1
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","NA ","Gianoutsos, Ted ",1
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","DEM ","Metcalfe, Ray ",20
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","LIB ","Miller, Joe ",74
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","REP ","Murkowski, Lisa ",85
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","NA ","Stock, Margaret ",17
"1","01-455 Fairbanks No. 1 ","U.S. Senate","","NP ","Write-in 70 ",1
"1","01-455 Fairbanks No. 1 ","U.S. House","1","DEM ","Lindbeck, Steve ",62
"1","01-455 Fairbanks No. 1 ","U.S. House","1","LIB ","McDermott, Jim C.  ",23
"1","01-455 Fairbanks No. 1 ","U.S. House","1","NA ","Souphanavong, Bernie ",4
"1","01-455 Fairbanks No. 1 ","U.S. House","1","REP ","Young, Don ",106
"1","01-455 Fairbanks No. 1 ","U.S. House","1","NP ","Write-in 50 ",0
"1","01-455 Fairbanks No. 1 ","State House","1","DEM ","Kawasaki, Scott J.  ",142
"1","01-455 Fairbanks No. 1 ","State House","1","NP ","Write-in 20 ",17
"1","01-455 Fairbanks No. 1 ","Ballot Measure No. 1 - 15PFVR ","","NP ","YES ",134
"1","01-455 Fairbanks No. 1 ","Ballot Measure No. 1 - 15PFVR ","","NP ","NO ",62
"1","01-455 Fairbanks No. 1 ","Ballot Measure No. 2 - SJR2 ","","NP ","YES ",94
"1","01-455 Fairbanks No. 1 ","Ballot Measure No. 2 - SJR2 ","","NP ","NO ",96
"1","01-455 Fairbanks No. 1 ","Supreme Crt-Justice Bolger ","","NP ","YES ",114
"1","01-455 Fairbanks No. 1 ","Supreme Crt-Justice Bolger ","","NP ","NO ",71
"1","01-455 Fairbanks No. 1 ","Supreme Crt-Justice Maassen ","","NP ","YES ",105
"1","01-455 Fairbanks No. 1 ","Supreme Crt-Justice Maassen ","","NP ","NO ",73
"1","01-455 Fairbanks No. 1 ","Court of Appeals - Judge Allard ","","NP ","YES ",117
"1","01-455 Fairbanks No. 1 ","Court of Appeals - Judge Allard ","","NP ","NO ",66
"1","01-455 Fairbanks No. 1 ","Sup Court JD4 Blankenship ","","NP ","YES ",123
"1","01-455 Fairbanks No. 1 ","Sup Court JD4 Blankenship ","","NP ","NO ",58
"1","01-455 Fairbanks No. 1 ","Sup Court JD4 Harbison ","","NP ","YES ",112
