ward,precinct,office,district,party,candidate,votes
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,88
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,34
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,195
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,3710
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,87
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,7
6,1,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,16
6,1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,186
6,1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,3393
6,1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,362
6,1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,32
6,1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,3
6,1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,161
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,290
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,369
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,373
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,500
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1135
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,3005
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,44
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,2
6,1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,2544
6,1,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1191
6,1,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,633
6,1,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,1328
6,1,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,60
6,1,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,3
6,1,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,916
6,1,ANC - 6C02 SINGLE MEMBER DISTRICT 02-ANC 6C,,NON,Karen Wirt,100
6,1,ANC - 6C02 SINGLE MEMBER DISTRICT 02-ANC 6C,,NON,WRITE-IN,2
6,1,ANC - 6C02 SINGLE MEMBER DISTRICT 02-ANC 6C,,,OVER VOTES,0
6,1,ANC - 6C02 SINGLE MEMBER DISTRICT 02-ANC 6C,,,UNDER VOTES,43
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,NON,Mohammed Seid,32
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,NON,Phil Tsolakidis,11
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,NON,Sterlicia Rodney,17
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,NON,Lily Roberts,116
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,NON,WRITE-IN,2
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,,OVER VOTES,0
6,1,ANC - 6E04 SINGLE MEMBER DISTRICT 04-ANC 6E,,,UNDER VOTES,34
6,1,ANC - 6E05 SINGLE MEMBER DISTRICT 05-ANC 6E,,NON,Marge Maceda,449
6,1,ANC - 6E05 SINGLE MEMBER DISTRICT 05-ANC 6E,,NON,Alex Marriott,1219
6,1,ANC - 6E05 SINGLE MEMBER DISTRICT 05-ANC 6E,,NON,WRITE-IN,18
6,1,ANC - 6E05 SINGLE MEMBER DISTRICT 05-ANC 6E,,,OVER VOTES,0
6,1,ANC - 6E05 SINGLE MEMBER DISTRICT 05-ANC 6E,,,UNDER VOTES,259
6,1,ANC - 6E06 SINGLE MEMBER DISTRICT 06-ANC 6E,,NON,Alvin Judd Sr.,482
6,1,ANC - 6E06 SINGLE MEMBER DISTRICT 06-ANC 6E,,NON,WRITE-IN,27
6,1,ANC - 6E06 SINGLE MEMBER DISTRICT 06-ANC 6E,,,OVER VOTES,1
6,1,ANC - 6E06 SINGLE MEMBER DISTRICT 06-ANC 6E,,,UNDER VOTES,144
6,1,ANC - 6E07 SINGLE MEMBER DISTRICT 07-ANC 6E,,NON,Kevin M. Rogers,864
6,1,ANC - 6E07 SINGLE MEMBER DISTRICT 07-ANC 6E,,NON,WRITE-IN,33
6,1,ANC - 6E07 SINGLE MEMBER DISTRICT 07-ANC 6E,,,OVER VOTES,1
6,1,ANC - 6E07 SINGLE MEMBER DISTRICT 07-ANC 6E,,,UNDER VOTES,277
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,31
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,13
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,59
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,758
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,23
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
2,2,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,3
2,2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,38
2,2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,660
2,2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,105
2,2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,8
2,2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
2,2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,75
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,87
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,73
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,93
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,136
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,159
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,581
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,9
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
2,2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,598
2,2,WARD TWO MEMBER OF THE COUNCIL,,DEM,Jack Evans,733
2,2,WARD TWO MEMBER OF THE COUNCIL,,NON,WRITE-IN,23
2,2,WARD TWO MEMBER OF THE COUNCIL,,,OVER VOTES,0
2,2,WARD TWO MEMBER OF THE COUNCIL,,,UNDER VOTES,112
2,2,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,320
2,2,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,93
2,2,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,248
2,2,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,8
2,2,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,1
2,2,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,198
2,2,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,Jack Jacobson,667
2,2,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,15
2,2,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
2,2,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,186
2,2,ANC - 2A01 SINGLE MEMBER DISTRICT 01-ANC 2A,,NON,Patrick Kennedy,200
2,2,ANC - 2A01 SINGLE MEMBER DISTRICT 01-ANC 2A,,NON,WRITE-IN,8
2,2,ANC - 2A01 SINGLE MEMBER DISTRICT 01-ANC 2A,,,OVER VOTES,0
2,2,ANC - 2A01 SINGLE MEMBER DISTRICT 01-ANC 2A,,,UNDER VOTES,54
2,2,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,NON,Florence E. Harmon,2
2,2,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,NON,WRITE-IN,0
2,2,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,,OVER VOTES,0
2,2,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,,UNDER VOTES,1
2,2,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,NON,Detrick Campbell,235
2,2,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,NON,WRITE-IN,8
2,2,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,,OVER VOTES,0
2,2,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,,UNDER VOTES,72
2,2,ANC - 2A08 SINGLE MEMBER DISTRICT 08-ANC 2A,,NON,NO CANDIDATE FILED,0
2,2,ANC - 2A08 SINGLE MEMBER DISTRICT 08-ANC 2A,,NON,WRITE-IN,81
