county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",32,3,49,84
County of Hawaii,01-01,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",25,5,35,65
County of Hawaii,01-01,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",130,38,179,347
County of Hawaii,01-01,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",498,95,470,1063
County of Hawaii,01-01,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",13,2,5,20
County of Hawaii,01-01,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,4,4
County of Hawaii,01-01,U.S. Senator,,C,"ALLISON, Joy J.",7,2,22,31
County of Hawaii,01-01,U.S. Senator,,D,"SCHATZ, Brian",603,107,518,1228
County of Hawaii,01-01,U.S. Senator,,L,"KOKOSKI, Michael A.",13,1,17,31
County of Hawaii,01-01,U.S. Senator,,R,"CARROLL, John",88,26,152,266
County of Hawaii,01-01,U.S. Representative,2,D,"GABBARD, Tulsi",612,115,593,1320
County of Hawaii,01-01,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",91,23,122,236
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",578,111,539,1228
County of Hawaii,01-01,State Representative,1,R,"YOUNG, Byron",116,25,162,303
County of Hawaii,01-02,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",11,2,19,32
County of Hawaii,01-02,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",8,2,11,21
County of Hawaii,01-02,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",66,4,67,137
County of Hawaii,01-02,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",175,28,153,356
County of Hawaii,01-02,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",3,0,3,6
County of Hawaii,01-02,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,3,3
County of Hawaii,01-02,U.S. Senator,,C,"ALLISON, Joy J.",3,0,7,10
County of Hawaii,01-02,U.S. Senator,,D,"SCHATZ, Brian",208,29,181,418
County of Hawaii,01-02,U.S. Senator,,L,"KOKOSKI, Michael A.",1,1,9,11
County of Hawaii,01-02,U.S. Senator,,R,"CARROLL, John",49,4,47,100
County of Hawaii,01-02,U.S. Representative,2,D,"GABBARD, Tulsi",221,28,200,449
County of Hawaii,01-02,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",33,6,47,86
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",193,31,182,406
County of Hawaii,01-02,State Representative,1,R,"YOUNG, Byron",59,3,59,121
County of Hawaii,01-03,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",12,1,8,21
County of Hawaii,01-03,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",10,2,11,23
County of Hawaii,01-03,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",48,13,58,119
County of Hawaii,01-03,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",213,46,182,441
County of Hawaii,01-03,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",2,0,4,6
County of Hawaii,01-03,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,1,1,3
County of Hawaii,01-03,U.S. Senator,,C,"ALLISON, Joy J.",4,2,7,13
County of Hawaii,01-03,U.S. Senator,,D,"SCHATZ, Brian",239,46,193,478
County of Hawaii,01-03,U.S. Senator,,L,"KOKOSKI, Michael A.",5,2,7,14
County of Hawaii,01-03,U.S. Senator,,R,"CARROLL, John",35,7,41,83
County of Hawaii,01-03,U.S. Representative,2,D,"GABBARD, Tulsi",245,54,215,514
County of Hawaii,01-03,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",34,6,37,77
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",235,48,195,478
County of Hawaii,01-03,State Representative,1,R,"YOUNG, Byron",42,10,55,107
County of Hawaii,01-04,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",2,0,7,9
County of Hawaii,01-04,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",7,1,2,10
County of Hawaii,01-04,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",13,11,24,48
County of Hawaii,01-04,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",61,20,63,144
County of Hawaii,01-04,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",0,0,1,1
County of Hawaii,01-04,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,1,1
County of Hawaii,01-04,U.S. Senator,,C,"ALLISON, Joy J.",0,0,2,2
County of Hawaii,01-04,U.S. Senator,,D,"SCHATZ, Brian",67,22,69,158
County of Hawaii,01-04,U.S. Senator,,L,"KOKOSKI, Michael A.",2,1,2,5
County of Hawaii,01-04,U.S. Senator,,R,"CARROLL, John",14,8,16,38
County of Hawaii,01-04,U.S. Representative,2,D,"GABBARD, Tulsi",68,26,69,163
County of Hawaii,01-04,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",13,6,20,39
County of Hawaii,01-04,State Representative,1,D,"NAKASHIMA, Mark M.",58,24,60,142
County of Hawaii,01-04,State Representative,1,R,"YOUNG, Byron",18,7,22,47
County of Hawaii,01-05,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",19,3,20,42
County of Hawaii,01-05,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",13,6,17,36
County of Hawaii,01-05,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",90,52,106,248
County of Hawaii,01-05,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",361,81,299,741
County of Hawaii,01-05,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",7,1,6,14
County of Hawaii,01-05,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,5,5
County of Hawaii,01-05,U.S. Senator,,C,"ALLISON, Joy J.",7,2,11,20
County of Hawaii,01-05,U.S. Senator,,D,"SCHATZ, Brian",405,92,326,823
County of Hawaii,01-05,U.S. Senator,,L,"KOKOSKI, Michael A.",6,4,7,17
County of Hawaii,01-05,U.S. Senator,,R,"CARROLL, John",63,35,76,174
County of Hawaii,01-05,U.S. Representative,2,D,"GABBARD, Tulsi",408,109,354,871
County of Hawaii,01-05,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",60,27,72,159
County of Hawaii,01-05,State Representative,1,D,"NAKASHIMA, Mark M.",393,85,313,791
County of Hawaii,01-05,State Representative,1,R,"YOUNG, Byron",79,44,97,220
County of Hawaii,01-06,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",10,5,17,32
County of Hawaii,01-06,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",19,6,16,41
County of Hawaii,01-06,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",84,22,109,215
County of Hawaii,01-06,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",292,100,207,599
County of Hawaii,01-06,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",2,1,5,8
County of Hawaii,01-06,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,4,4
County of Hawaii,01-06,U.S. Senator,,C,"ALLISON, Joy J.",2,4,14,20
County of Hawaii,01-06,U.S. Senator,,D,"SCHATZ, Brian",332,105,245,682
County of Hawaii,01-06,U.S. Senator,,L,"KOKOSKI, Michael A.",6,4,8,18
County of Hawaii,01-06,U.S. Senator,,R,"CARROLL, John",56,17,64,137
County of Hawaii,01-06,U.S. Representative,2,D,"GABBARD, Tulsi",334,111,266,711
County of Hawaii,01-06,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",45,15,71,131
County of Hawaii,01-06,State Representative,1,D,"NAKASHIMA, Mark M.",322,107,249,678
County of Hawaii,01-06,State Representative,1,R,"YOUNG, Byron",67,21,80,168
County of Hawaii,01-07,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",15,9,24,48
County of Hawaii,01-07,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",7,5,13,25
County of Hawaii,01-07,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",78,35,91,204
County of Hawaii,01-07,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",247,100,293,640
County of Hawaii,01-07,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",6,1,4,11
County of Hawaii,01-07,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,1,7,9
County of Hawaii,01-07,U.S. Senator,,C,"ALLISON, Joy J.",7,4,25,36
County of Hawaii,01-07,U.S. Senator,,D,"SCHATZ, Brian",269,110,313,692
County of Hawaii,01-07,U.S. Senator,,L,"KOKOSKI, Michael A.",7,0,6,13
County of Hawaii,01-07,U.S. Senator,,R,"CARROLL, John",55,28,55,138
County of Hawaii,01-07,U.S. Representative,2,D,"GABBARD, Tulsi",273,102,345,720
County of Hawaii,01-07,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",56,39,59,154
County of Hawaii,01-07,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",278,117,336,731
County of Hawaii,01-07,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",53,22,61,136
County of Hawaii,01-07,State Representative,1,D,"NAKASHIMA, Mark M.",263,105,303,671
County of Hawaii,01-07,State Representative,1,R,"YOUNG, Byron",65,35,88,188
County of Hawaii,01-08,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",47,12,49,108
County of Hawaii,01-08,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",49,18,49,116
County of Hawaii,01-08,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",301,108,259,668
County of Hawaii,01-08,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1081,282,655,2018
County of Hawaii,01-08,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",19,4,11,34
County of Hawaii,01-08,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",6,3,8,17
County of Hawaii,01-08,U.S. Senator,,C,"ALLISON, Joy J.",21,5,23,49
County of Hawaii,01-08,U.S. Senator,,D,"SCHATZ, Brian",1216,331,770,2317
County of Hawaii,01-08,U.S. Senator,,L,"KOKOSKI, Michael A.",20,8,27,55
County of Hawaii,01-08,U.S. Senator,,R,"CARROLL, John",200,68,170,438
County of Hawaii,01-08,U.S. Representative,2,D,"GABBARD, Tulsi",1215,335,829,2379
County of Hawaii,01-08,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",212,62,165,439
County of Hawaii,01-08,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",1277,341,856,2474
County of Hawaii,01-08,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",149,56,122,327
County of Hawaii,01-08,State Representative,1,D,"NAKASHIMA, Mark M.",1181,315,728,2224
County of Hawaii,01-08,State Representative,1,R,"YOUNG, Byron",237,78,222,537
County of Hawaii,01-09,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",12,7,20,39
County of Hawaii,01-09,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",21,6,23,50
County of Hawaii,01-09,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",106,35,162,303
County of Hawaii,01-09,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",408,93,268,769
County of Hawaii,01-09,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",10,0,10,20
County of Hawaii,01-09,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",5,0,2,7
County of Hawaii,01-09,U.S. Senator,,C,"ALLISON, Joy J.",5,3,14,22
County of Hawaii,01-09,U.S. Senator,,D,"SCHATZ, Brian",471,112,344,927
