county,office,district,party,candidate,votes
Beaver,Attorney General,,Libertarian,W. Andrew McCullough,107
Beaver,Attorney General,,Democratic,Jon Harper,308
Beaver,Attorney General,,Republican,Sean Reyes,1948
Beaver,Attorney General,,Independent American,Michael Isbell,66
Beaver,State Auditor,,Independent American,Jared Green,122
Beaver,State Auditor,,Republican,John Dougall,1833
Beaver,State Auditor,,Democratic,Mike Mitchell,421
Beaver,Governor,,Libertarian,Brian Kamerath,63
Beaver,Governor,,,Write-In,8
Beaver,Governor,,Republican,Gary Herbert,2033
Beaver,Governor,,Independent American,Dell Schanze,46
Beaver,Governor,,Democratic,Mike Weinholtz,324
Beaver,President,,Independent,Rocky Giordani,6
Beaver,President,,Democratic,Hillary Clinton,46
Beaver,President,,,Rocky De La Fuente,0
Beaver,President,,Workers World,Monica Moorehead,1
Beaver,President,,Socialist Workers,Alyson Kennedy,1
Beaver,President,,Constitution,Darrell Castle,12
Beaver,President,,Independent,Evan McMullin,323
Beaver,President,,Green,Jill Stein,10
Beaver,President,,,Write-In,14
Beaver,President,,Libertarian,Gary Johnson,36
Beaver,President,,Republican,Donald Trump,1838
Beaver,President,,Democratic,Hillary Clinton,218
Beaver,State House,68,Republican,Merrill Nelson,241
Beaver,State House,68,Constitution,Kirk Pearson,30
Beaver,State House,68,Democratic,Cindee Beard,144
Beaver,State House,73,Republican,Mike Noel,1521
Beaver,State House,73,Democratic,Ty Markham,488
Beaver,State Senate,24,Republican,Ralph Okerlund,106
Beaver,State Treasurer,,Republican,David Damschen,1739
Beaver,State Treasurer,,Democratic,Neil Hansen,468
Beaver,State Treasurer,,Constitution,Richard Proctor,159
Beaver,U.S. House,2,Republican,Chris Stewart,2020
Beaver,U.S. House,2,Constitution,Paul McCollaum,112
Beaver,U.S. House,2,Democratic,Charlene Albarran,320
Beaver,U.S. Senate,,Independent,Bill Barron,26
Beaver,U.S. Senate,,Independent American,Stoney Fonua,46
Beaver,U.S. Senate,,Democratic,Misty Snow,295
Beaver,U.S. Senate,,Republican,Mike Lee,2075
Box Elder,Attorney General,,Democratic,Jon Harper,2337
Box Elder,Attorney General,,Libertarian,W. Andrew McCullough,1223
Box Elder,Attorney General,,Republican,Sean Reyes,15146
Box Elder,Attorney General,,Independent American,Michael Isbell,619
Box Elder,Governor,,Libertarian,Brian Kamerath,635
Box Elder,Governor,,,Write-In,39
Box Elder,Governor,,Republican,Gary Herbert,16084
Box Elder,Governor,,Independent American,Dell Schanze,357
Box Elder,Governor,,Democratic,Mike Weinholtz,2454
Box Elder,President,,Independent,Rocky Giordani,61
Box Elder,President,,Democratic,Hillary Clinton,2282
Box Elder,President,,Workers World,Monica Moorehead,9
Box Elder,President,,Socialist Workers,Alyson Kennedy,4
Box Elder,President,,Constitution,Darrell Castle,210
Box Elder,President,,,Rocky De La Fuente,15
Box Elder,President,,Independent,Evan McMullin,4257
Box Elder,President,,Green,Jill Stein,76
Box Elder,President,,,Write-In,143
Box Elder,President,,Republican,Donald Trump,12230
Box Elder,President,,Libertarian,Gary Johnson,591
Box Elder,State Auditor,,Republican,John Dougall,14532
Box Elder,State Auditor,,Democratic,Mike Mitchell,3099
Box Elder,State Auditor,,Independent American,Jared Green,1375
Box Elder,State House,1,Republican,Scott Sandall,10372
Box Elder,State House,1,Constitution,Sherry Phipps,3295
Box Elder,State House,29,Democratic,Angela Urrea,1082
Box Elder,State House,29,Republican,Lee Perry,4363
Box Elder,State Treasurer,,Republican,David Damschen,13639
Box Elder,State Treasurer,,Democratic,Neil Hansen,3646
Box Elder,State Treasurer,,Constitution,Richard Proctor,1698
Box Elder,U.S. House,1,Unaffiliated,Chadwick Fairbanks,422
Box Elder,U.S. House,1,Republican,Rob Bishop,15300
Box Elder,U.S. House,1,Democratic,Peter Clemens,2914
Box Elder,U.S. House,1,Libertarian,Craig Bowden,971
Box Elder,U.S. Senate,,Independent,Bill Barron,466
Box Elder,U.S. Senate,,Independent American,Stoney Fonua,460
Box Elder,U.S. Senate,,Republican,Mike Lee,16240
