county,office,district,town,precinct,candidate,party,votes,state_election_id
Addison,State House,ADD-1,Middlebury,,Amy Sheldon,Democratic/Progressive,2211,82160
Addison,State House,ADD-1,Middlebury,,Robin Scheu,Democratic,1938,82160
Addison,State House,ADD-1,Middlebury,,Jill Charbonneau,Progressive,1378,82160
Addison,State House,ADD-1,Middlebury,,Write-ins,,38,82160
Addison,State House,ADD-1,Middlebury,,Blanks,Liberty Union,1874,82160
Addison,State House,ADD-1,Middlebury,,Spoiled,,7,82160
Addison,State House,ADD-1,Middlebury,,Total Votes Cast,Liberty Union,7446,82160
Addison,State House,ADD-2,Cornwall,,Peter Conlon,Democratic,664,82133
Addison,State House,ADD-2,Goshen,,Peter Conlon,Democratic,93,82133
Addison,State House,ADD-2,Hancock,,Peter Conlon,Democratic,129,82133
Addison,State House,ADD-2,Leicester,,Peter Conlon,Democratic,389,82133
Addison,State House,ADD-2,Ripton,,Peter Conlon,Democratic,285,82133
Addison,State House,ADD-2,Salisbury,,Peter Conlon,Democratic,453,82133
Addison,State House,ADD-2,Cornwall,,Write-ins,,3,82133
Addison,State House,ADD-2,Goshen,,Write-ins,,5,82133
Addison,State House,ADD-2,Hancock,,Write-ins,,2,82133
Addison,State House,ADD-2,Leicester,,Write-ins,,6,82133
Addison,State House,ADD-2,Ripton,,Write-ins,,5,82133
Addison,State House,ADD-2,Salisbury,,Write-ins,,7,82133
Addison,State House,ADD-2,Cornwall,,Blanks,,78,82133
Addison,State House,ADD-2,Goshen,,Blanks,,26,82133
Addison,State House,ADD-2,Hancock,,Blanks,,30,82133
Addison,State House,ADD-2,Leicester,,Blanks,,106,82133
Addison,State House,ADD-2,Ripton,,Blanks,,47,82133
Addison,State House,ADD-2,Salisbury,,Blanks,,103,82133
Addison,State House,ADD-2,Cornwall,,Spoiled,,3,82133
Addison,State House,ADD-2,Goshen,,Spoiled,,1,82133
Addison,State House,ADD-2,Hancock,,Spoiled,,1,82133
Addison,State House,ADD-2,Leicester,,Spoiled,,1,82133
Addison,State House,ADD-2,Ripton,,Spoiled,,0,82133
Addison,State House,ADD-2,Salisbury,,Spoiled,,0,82133
Addison,State House,ADD-2,Cornwall,,Total Votes Cast,Liberty Union,748,82133
Addison,State House,ADD-2,Goshen,,Total Votes Cast,Liberty Union,125,82133
Addison,State House,ADD-2,Hancock,,Total Votes Cast,Liberty Union,162,82133
Addison,State House,ADD-2,Leicester,,Total Votes Cast,Liberty Union,502,82133
Addison,State House,ADD-2,Ripton,,Total Votes Cast,Liberty Union,337,82133
Addison,State House,ADD-2,Salisbury,,Total Votes Cast,Liberty Union,563,82133
Addison,State House,ADD-3,Addison,,Diane Lanpher,Democratic,323,82058
Addison,State House,ADD-3,Ferrisburgh,,Diane Lanpher,Democratic,779,82058
Addison,State House,ADD-3,Panton,,Diane Lanpher,Democratic,164,82058
Addison,State House,ADD-3,Vergennes,,Diane Lanpher,Democratic,696,82058
Addison,State House,ADD-3,Waltham,,Diane Lanpher,Democratic,142,82058
Addison,State House,ADD-3,Addison,,Warren Van Wyck,Republican,447,82058
Addison,State House,ADD-3,Ferrisburgh,,Warren Van Wyck,Republican,760,82058
Addison,State House,ADD-3,Panton,,Warren Van Wyck,Republican,171,82058
Addison,State House,ADD-3,Vergennes,,Warren Van Wyck,Republican,475,82058
Addison,State House,ADD-3,Waltham,,Warren Van Wyck,Republican,131,82058
Addison,State House,ADD-3,Addison,,Frank. Fritz. Langrock,Democratic,253,82058
Addison,State House,ADD-3,Ferrisburgh,,Frank. Fritz. Langrock,Democratic,724,82058
Addison,State House,ADD-3,Panton,,Frank. Fritz. Langrock,Democratic,141,82058
Addison,State House,ADD-3,Vergennes,,Frank. Fritz. Langrock,Democratic,589,82058
Addison,State House,ADD-3,Waltham,,Frank. Fritz. Langrock,Democratic,123,82058
Addison,State House,ADD-3,Addison,,Monique Thurston,Republican,376,82058
Addison,State House,ADD-3,Ferrisburgh,,Monique Thurston,Republican,630,82058
Addison,State House,ADD-3,Panton,,Monique Thurston,Republican,147,82058
Addison,State House,ADD-3,Vergennes,,Monique Thurston,Republican,402,82058
Addison,State House,ADD-3,Waltham,,Monique Thurston,Republican,108,82058
Addison,State House,ADD-3,Addison,,Write-ins,,0,82058
Addison,State House,ADD-3,Ferrisburgh,,Write-ins,,1,82058
Addison,State House,ADD-3,Panton,,Write-ins,,0,82058
Addison,State House,ADD-3,Vergennes,,Write-ins,,0,82058
Addison,State House,ADD-3,Waltham,,Write-ins,,1,82058
Addison,State House,ADD-3,Addison,,Blanks,Liberty Union,176,82058
Addison,State House,ADD-3,Ferrisburgh,,Blanks,Liberty Union,376,82058
Addison,State House,ADD-3,Panton,,Blanks,Liberty Union,73,82058
Addison,State House,ADD-3,Vergennes,,Blanks,Liberty Union,338,82058
Addison,State House,ADD-3,Waltham,,Blanks,Liberty Union,63,82058
Addison,State House,ADD-3,Addison,,Spoiled,,1,82058
Addison,State House,ADD-3,Ferrisburgh,,Spoiled,,0,82058
Addison,State House,ADD-3,Panton,,Spoiled,,0,82058
Addison,State House,ADD-3,Vergennes,,Spoiled,,0,82058
Addison,State House,ADD-3,Waltham,,Spoiled,,0,82058
Addison,State House,ADD-3,Addison,,Total Votes Cast,Liberty Union,1576,82058
Addison,State House,ADD-3,Ferrisburgh,,Total Votes Cast,Liberty Union,3270,82058
Addison,State House,ADD-3,Panton,,Total Votes Cast,Liberty Union,696,82058
Addison,State House,ADD-3,Vergennes,,Total Votes Cast,Liberty Union,2500,82058
